track_name,album_name,energy,valence,reading_grade,syllable_density,lexical_diversity,bridge_shift,thematic_dna,energy_is_predicted,valence_is_predicted,cluster_id,umap_x,umap_y,top_driver,archetype_name,archetype_desc,symbol
Tim McGraw,Taylor Swift,0.491,0.425,0.5298360655737717,1.1420765027322404,0.3333333333333333,0.1779,"hope, blue, chest, faded, jeans",False,False,0,-0.90173393,5.977332,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",diamond-wide
Picture To Burn,Taylor Swift,0.877,0.821,3.0835857329067444,1.2508591065292096,0.37800687285223367,-0.9552,"pickup, redneck, wasted, truck, lyin",False,False,2,4.5410037,7.0542707,reading_grade,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond-wide
Teardrops On My Guitar,Taylor Swift,0.417,0.289,1.0256388888888885,1.1701388888888888,0.4513888888888889,-1.2090999999999998,"drew, wishing, singing, reason, star",False,False,1,0.19331059,5.157587,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond-wide
A Place In This World,Taylor Swift,0.777,0.428,1.0361111111111114,1.125,0.35344827586206895,-0.2912,"strong, just, wrong, mystery, sleeve",False,False,3,0.8969413,9.073766,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide
Cold As You,Taylor Swift,0.482,0.261,2.2396234817813756,1.2388663967611335,0.41700404858299595,-1.9162,"rainy, given, sitting, shame, ending",False,False,1,3.220592,5.934939,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond-wide
The Outside,Taylor Swift,0.805,0.591,1.6752384891094572,1.2136752136752136,0.3888888888888889,0.0,"lets, looking, view, lonely, lot",False,False,3,2.200862,8.46924,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide
Tied Together With A Smile,Taylor Swift,0.578,0.192,1.967057367829021,1.2480314960629921,0.3464566929133858,-0.9498,"letting, undone, jumping, coming, losing",False,False,4,3.048106,6.06206,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond-wide
Stay Beautiful,Taylor Swift,0.629,0.504,3.0028604557370464,1.3486590038314177,0.4482758620689655,-0.9415,"leads, piece, looked, ask, hope",False,False,2,4.711796,6.227366,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond-wide
Should've Said No,Taylor Swift,0.777,0.472,1.148409090909091,1.1761363636363635,0.3096590909090909,-0.798,"shouldn, fore, begging, forgiveness, twice",False,False,3,0.010075078,7.9937034,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide
Mary's Song (Oh My My My),Taylor Swift,0.627,0.374,1.326675981873116,1.1601208459214503,0.4501510574018127,-0.5263,"mamas, smiled, eighty, rolled, shined",False,False,1,1.0071247,6.205202,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),diamond-wide
Our Song,Taylor Swift,0.672,0.539,1.5126451983898832,1.1891891891891893,0.3783783783783784,0.7363999999999999,"late, tappin, amen, slammin, sneakin",False,False,3,1.5362412,8.518552,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide
I'm Only Me When I'm With You,Taylor Swift,0.934,0.518,1.2841729323308293,1.1907894736842106,0.34539473684210525,0.443,"half, crazy, true, matter, tryin",False,False,3,1.6610433,9.166928,syllable_density,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide
Invisible,Taylor Swift,0.394,0.233,2.0931000000000033,1.292,0.324,0.6772,"unbelievable, miracle, just, light, instead",False,False,4,2.1598916,4.4073677,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond-wide
A Perfectly Good Heart,Taylor Swift,0.751,0.268,1.5702775441547523,1.2672413793103448,0.3103448275862069,0.0,"wanna, break, tear, scar, apart",False,False,3,2.2135193,6.977059,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide
Teardrops On My Guitar (Pop Version),Taylor Swift,0.753,0.483,1.0341915807560156,1.168384879725086,0.4536082474226804,-1.2090999999999998,"drew, wishing, singing, reason, star",False,False,3,-0.29390156,7.663465,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond-wide
Fearless,Fearless,0.714,0.467,1.227590233545648,1.1369426751592357,0.35987261146496813,0.2329,"drag, dance, storm, gets, head",False,False,3,1.0408262,9.330894,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond
Fifteen,Fearless,0.636,0.214,1.6396121453900712,1.1901041666666667,0.4557291666666667,-0.6922,"tells, gonna, somebody, breath, deep",False,False,1,1.4625106,6.070604,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond
Love Story,Fearless,0.736,0.307,1.8098214285714285,1.2142857142857142,0.4021164021164021,0.1876,"romeo, juliet, yes, waiting, princess",False,False,3,2.1579185,6.612692,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond
Hey Stephen,Fearless,0.553,0.825,1.5582818347054435,1.1733668341708543,0.34673366834170855,-0.5203,"help, mmm, angel, feeling, magic",False,False,3,-0.7401795,8.736399,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond
White Horse,Fearless,0.346,0.195,1.5784827166927222,1.1914191419141915,0.42244224422442245,-0.6978,"late, ain, whoa, princess, catch",False,False,1,0.8635119,4.6551166,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),diamond
You Belong With Me,Fearless,0.771,0.445,1.4206775304580255,1.1738035264483626,0.3702770780856423,-0.038000000000000034,"understands, bout, captain, wears, cheer",False,False,3,1.2163322,9.245408,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond
Breathe,Fearless,0.486,0.17,2.095732780504317,1.220447284345048,0.3610223642172524,1.6512,"easy, save, simple, break, feeling",False,False,4,2.1738267,3.8950667,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond
Tell Me Why,Fearless,0.852,0.513,0.8575893027698207,1.1375358166189111,0.31805157593123207,1.3426,"sick, temper, tired, doing, yes",False,False,0,1.7081134,9.21987,syllable_density,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",diamond
You're Not Sorry,Fearless,0.459,0.281,1.8872456532966098,1.2006369426751593,0.3630573248407643,-0.11320000000000002,"anymore, straw, believe, pick, phone",False,False,4,1.4885012,5.1778197,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond
The Way I Loved You,Fearless,0.712,0.379,2.080062483728195,1.2574850299401197,0.3532934131736527,-1.8801,"roller, coaster, kissing, cursing, breaking",False,False,2,0.830654,7.044454,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond
Forever & Always,Fearless,0.829,0.514,1.7280864197530867,1.219753086419753,0.29876543209876544,-1.1160999999999999,"rains, bedroom, feel, hasn, stare",False,False,3,0.24304704,8.0240965,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond
The Best Day,Fearless,0.447,0.364,1.95730614973262,1.1448863636363635,0.48011363636363635,0.040100000000000025,"trees, set, going, far, drive",False,False,1,0.72478175,5.8334975,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),diamond
Change,Fearless,0.756,0.224,2.497818718565494,1.271375464684015,0.45353159851301117,0.8806,"hallelujah, sing, revolution, fight, walls",False,False,2,3.3530865,5.190941,bridge_shift,Glitter Gel Pen,"Frivolous & Upbeat (High Energy, High Valence)",diamond
Jump Then Fall,Fearless,0.687,0.82,1.1915879265091895,1.188976377952756,0.3228346456692913,-1.1998,"shine, catch, gonna, woah, sound",False,False,3,-0.68906045,8.74099,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond
Untouchable,Fearless,0.454,0.288,2.124477216332057,1.1985111662531018,0.19602977667493796,0.0776,"spelling, million, middle, dream, stars",False,False,4,1.8457345,5.1612,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond
Forever & Always (Piano Version),Fearless,0.16,0.294,1.7478571428571463,1.2214285714285715,0.29285714285714287,-0.8458,"rains, bedroom, feel, hasn, stare",False,False,4,1.3411356,4.6342397,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond
Come In With The Rain,Fearless,0.475,0.224,0.6813231441048053,1.1266375545851528,0.36681222707423583,-1.2216,"hoping, open, tired, anymore, window",False,False,0,-0.63267887,5.3540535,reading_grade,Quill Pen,"Poetic & Archaic (High Complexity, Low Energy)",diamond
SuperStar,Fearless,0.531,0.228,2.236617647058825,1.2463235294117647,0.40441176470588236,-0.3036,"special, photograph, dim, desperately, spotlight",False,False,4,3.4729064,6.013933,reading_grade,Standard Pop,Radio-Ready (Mid-Range Baseline Production),diamond
The Other Side Of The Door,Fearless,0.816,0.469,1.7398207104557635,1.2117962466487935,0.41823056300268097,0.6375,"leave, pebbles, throwing, window, pouring",False,False,3,1.88217,8.722605,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",diamond
Fearless (Taylor's Version),Fearless (TV),0.741,0.43,1.3193010752688181,1.1483870967741936,0.36774193548387096,0.2329,"headfirst, drag, dance, storm, gets",False,False,3,1.199061,9.34793,lexical_diversity,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
Fifteen (Taylor's Version),Fearless (TV),0.646,0.289,1.5755275974025977,1.1896103896103896,0.45454545454545453,-0.42040000000000005,"tells, gonna, somebody, deep, breath",False,False,1,1.3463136,6.1780906,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),cross
Love Story (Taylor's Version),Fearless (TV),0.792,0.415,1.8098214285714285,1.2142857142857142,0.4021164021164021,0.1876,"romeo, juliet, yes, waiting, princess",False,False,3,1.9115995,8.429175,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
Hey Stephen (Taylor's Version),Fearless (TV),0.571,0.797,1.2566097087378658,1.1553398058252426,0.3422330097087379,-0.5709,"mmm, help, feelin, angel, magic",False,False,3,-0.7709199,8.728366,valence,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
White Horse (Taylor's Version),Fearless (TV),0.517,0.366,1.5401315789473706,1.194078947368421,0.42105263157894735,-0.7673,"late, ain, princess, catch, stairwell",False,False,1,0.89645725,6.354872,bridge_shift,Fountain Pen,Modern Confessional (Specific Storytelling),cross
You Belong With Me (Taylor's Version),Fearless (TV),0.773,0.474,1.5864690117252955,1.1633165829145728,0.3743718592964824,0.1896,"understands, wears, captain, bout, cheer",False,False,3,1.3661983,9.104206,reading_grade,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
Breathe (Taylor's Version),Fearless (TV),0.626,0.321,1.9503773584905666,1.2169811320754718,0.36163522012578614,1.4611999999999998,"easy, save, mmm, simple, break",False,False,4,2.3279226,3.6431937,bridge_shift,Standard Pop,Radio-Ready (Mid-Range Baseline Production),cross
Tell Me Why (Taylor's Version),Fearless (TV),0.909,0.541,0.8196781609195405,1.1350574712643677,0.31896551724137934,1.2789000000000001,"sick, temper, tired, doing, yes",False,False,3,1.6976165,9.2110615,energy,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
You're Not Sorry (Taylor's Version),Fearless (TV),0.444,0.241,1.4737662337662378,1.1850649350649352,0.35714285714285715,0.5121,"anymore, straw, believe, pick, phone",False,False,4,1.4103442,4.281348,lexical_diversity,Standard Pop,Radio-Ready (Mid-Range Baseline Production),cross
The Way I Loved You (Taylor's Version),Fearless (TV),0.732,0.472,1.3439910638811732,1.2071005917159763,0.35502958579881655,-1.7756,"breakin, rollercoaster, cursin, kissin, fightin",False,False,3,0.05200422,7.4995747,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
Forever & Always (Taylor's Version),Fearless (TV),0.821,0.673,1.9053732201927218,1.21760391198044,0.30317848410757947,-1.0908,"rains, everythin, bedroom, feel, hasn",False,False,3,-0.07645232,8.467746,bridge_shift,Revenge Anthem,"Angst & Power (High Energy, Low Valence)",cross
The Best Day (Taylor's Version),Fearless (TV),0.576,0.469,2.1817426770485717,1.1350574712643677,0.48563218390804597,0.038999999999999924,"trees, set, far, drive, house",False,False,1,0.7883781,5.981353,lexical_diversity,Fountain Pen,Modern Confessional (Specific Storytelling),cross
